"法人番号","商号または名称","商号または名称（カナ）","商号または名称（英字）","登記記録の閉鎖等年月日","登記記録の閉鎖等の事由","登記住所","郵便番号","都道府県","都道府県コード","市区町村（郡）","市区町村コード","番地以下","組織種別","処理区分","訂正区分","状態","代表者名称","資本金","従業員数","企業規模詳細(男性)","企業規模詳細(女性)","事業概要","WebサイトURL","創業年","事業種目","設立年月日","全省庁統一資格-資格等級","全省庁統一資格-営業品目","更新年月日","キー情報","データ品質","データ品質-代表者名称","データ品質-資本金","データ品質-従業員数","データ品質-企業規模詳細(男性)","データ品質-企業規模詳細(女性)","データ品質-事業概要","データ品質-WebサイトURL","データ品質-創業年","データ品質-事業種目","データ品質-設立年月日","データ品質-全省庁統一資格-資格等級","データ品質-全省庁統一資格-営業品目","出典元","出典元-代表者名称","出典元-資本金","出典元-従業員数","出典元-企業規模詳細(男性)","出典元-企業規模詳細(女性)","出典元-事業概要","出典元-WebサイトURL","出典元-創業年","出典元-事業種目","出典元-設立年月日","出典元-全省庁統一資格-資格等級","出典元-全省庁統一資格-営業品目","データ取込頻度","データ取込頻度-代表者名称","データ取込頻度-資本金","データ取込頻度-従業員数","データ取込頻度-企業規模詳細(男性)","データ取込頻度-企業規模詳細(女性)","データ取込頻度-事業概要","データ取込頻度-WebサイトURL","データ取込頻度-創業年","データ取込頻度-事業種目","データ取込頻度-設立年月日","データ取込頻度-全省庁統一資格-資格等級","データ取込頻度-全省庁統一資格-営業品目","最終取得日","最終取得日-代表者名称","最終取得日-資本金","最終取得日-従業員数","最終取得日-企業規模詳細(男性)","最終取得日-企業規模詳細(女性)","最終取得日-事業概要","最終取得日-WebサイトURL","最終取得日-創業年","最終取得日-事業種目","最終取得日-設立年月日","最終取得日-全省庁統一資格-資格等級","最終取得日-全省庁統一資格-営業品目","最終更新日","最終更新日-代表者名称","最終更新日-資本金","最終更新日-従業員数","最終更新日-企業規模詳細(男性)","最終更新日-企業規模詳細(女性)","最終更新日-事業概要","最終更新日-WebサイトURL","最終更新日-創業年","最終更新日-事業種目","最終更新日-設立年月日","最終更新日-全省庁統一資格-資格等級","最終更新日-全省庁統一資格-営業品目"
"2430001011141","道央信和通信機株式会社","","","","","北海道札幌市南区南三十五条西１０丁目３番１９号パラドールサイトー１０１","0050035","北海道","01","札幌市南区","106","南三十五条西１０丁目３番１９号パラドールサイトー１０１","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001011141","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001011199","株式会社トーア設備防災","トーアセツビボウサイ","","","","北海道札幌市東区北三十三条東７丁目３番７号","0650033","北海道","01","札幌市東区","103","北三十三条東７丁目３番７号","301","01","1","","代表取締役　上田　博","","","","","","","","","1985-10-16","|C|C|","221|309","2020-07-31","2430001011199","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"2430001011265","東興電建株式会社","","","2025-01-24","21","北海道札幌市白石区南郷通１丁目北２番１６号","0030023","北海道","01","札幌市白石区","104","南郷通１丁目北２番１６号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","2430001011265","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001011463","道電工事株式会社","","","","","北海道札幌市西区発寒六条８丁目１番２１号","0630826","北海道","01","札幌市西区","107","発寒六条８丁目１番２１号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001011463","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001011612","東北電気工事株式会社","トウホクデンキコウジ","","","","北海道札幌市西区西野四条６丁目１３番１４号","0630034","北海道","01","札幌市西区","107","西野四条６丁目１３番１４号","301","01","1","","","","","","","","","","","","","","2019-06-19","2430001011612","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001012338","鳴海電設株式会社","","","","","北海道札幌市西区発寒一条３丁目１３番２０号","0630821","北海道","01","札幌市西区","107","発寒一条３丁目１３番２０号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001012338","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001012445","豊浦電気株式会社","","","","","北海道札幌市手稲区前田二条２丁目２番１号","0060812","北海道","01","札幌市手稲区","109","前田二条２丁目２番１号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001012445","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001012775","株式会社ニッショウ電建","ニッショウデンケン","","","","北海道札幌市北区新川西一条３丁目１０番１５号","0010931","北海道","01","札幌市北区","102","新川西一条３丁目１０番１５号","301","01","1","","","","","","","","","","","","","","2018-05-15","2430001012775","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001012882","株式会社日邦設備","","","","","北海道札幌市北区太平十条３丁目４番３３号","0028010","北海道","01","札幌市北区","102","太平十条３丁目４番３３号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001012882","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001013402","橋本電気工事株式会社","ハシモトデンキコウジ","","","","北海道札幌市東区北十九条東１０丁目３番７号","0650019","北海道","01","札幌市東区","103","北十九条東１０丁目３番７号","301","01","1","","代表取締役社長　土岐田　昇","","38","35","3","","http://hashimotodenki.co.jp/index.html","","D:建設業","1960-07-13","|C|C|","216|218|309|315","2020-08-07","2430001013402","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"2430001013889","光情報通信株式会社","ヒカリジョウホウツウシン","","","","北海道札幌市白石区平和通２丁目南１番７号","0030028","北海道","01","札幌市白石区","104","平和通２丁目南１番７号","301","01","1","","","","","","","","","","","","","","2018-07-26","2430001013889","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001014185","フォーク電気株式会社","フォークデンキ","","","","北海道札幌市清田区美しが丘一条８丁目１番２７号","0040811","北海道","01","札幌市清田区","110","美しが丘一条８丁目１番２７号","301","12","0","","","","","","","","","","","","","","2020-12-01","2430001014185","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001014854","株式会社北新電業","ホクシンデンギョウ","","","","北海道札幌市中央区北七条西２０丁目１番１１号","0600007","北海道","01","札幌市中央区","101","北七条西２０丁目１番１１号","301","01","1","","","","","","","","","","","","","","2019-07-18","2430001014854","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001016396","株式会社瑞穂電気産業社","","","2018-11-01","01","北海道札幌市東区北四十二条東８丁目３番１号","0070842","北海道","01","札幌市東区","103","北四十二条東８丁目３番１号","301","21","0","閉鎖","","","","","","","","","","","","","2018-11-06","2430001016396","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001016660","株式会社宮田電設工業","ミヤタデンセツコウギョウ","","","","北海道札幌市白石区平和通１２丁目北５番２９号","0030029","北海道","01","札幌市白石区","104","平和通１２丁目北５番２９号","301","01","1","","","","","","","","","","","","","","2019-05-21","2430001016660","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001017221","ヤハラ消防設備株式会社","ヤハラショウボウセツビ","","","","北海道札幌市中央区南十四条西１６丁目２番２５号","0640914","北海道","01","札幌市中央区","101","南十四条西１６丁目２番２５号","301","01","1","","代表取締役　杉野　彰彦","","","","","","","","","1969-10-06","|D|D|","216|221|229|309|315","2019-08-02","2430001017221","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"2430001017287","ヤマキ伸和電設工業株式会社","","","","","北海道札幌市中央区北十二条西１５丁目２番２５号","0600012","北海道","01","札幌市中央区","101","北十二条西１５丁目２番２５号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001017287","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001018120","ライラック興業株式会社","ライラックコウギョウ","","","","北海道札幌市東区東雁来九条３丁目１番３０号","0070829","北海道","01","札幌市東区","103","東雁来九条３丁目１番３０号","301","12","1","","代表取締役　三浦　伸一","","130","90","44","下水道施設維持管理、建物清掃・設備保守管理業務等","","","R:サービス業（他に分類されないもの）","1981-11-24","||C|","309","2018-07-02","2430001018120","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"2430001018310","株式会社渡辺設備工業所","","","","","北海道札幌市厚別区厚別南３丁目２番２６号","0040022","北海道","01","札幌市厚別区","108","厚別南３丁目２番２６号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001018310","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001018319","渡辺電設株式会社","ワタナベデンセツ","","","","北海道札幌市清田区北野二条１丁目１１番４号","0040862","北海道","01","札幌市清田区","110","北野二条１丁目１１番４号","301","12","1","","","","","","","","","","","","","","2023-11-01","2430001018319","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001018830","株式会社北日本通信社","キタニホンツウシンシャ","","","","北海道札幌市西区山の手四条１丁目１番１号","0630004","北海道","01","札幌市西区","107","山の手四条１丁目１番１号","301","01","1","","","","","","","","","","","","","","2018-11-19","2430001018830","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001019250","山水設備株式会社","","","2025-01-24","21","北海道札幌市豊平区福住一条１丁目８番２０号","0620041","北海道","01","札幌市豊平区","105","福住一条１丁目８番２０号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","2430001019250","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001019622","株式会社札幌映像プロダクシヨン","サッポロエイゾウプロダクション","","","","北海道札幌市中央区北一条西８丁目１番地１ＳＴＶアネックス４階","0600001","北海道","01","札幌市中央区","101","北一条西８丁目１番地１ＳＴＶアネックス４階","301","01","1","","代表取締役　津嶋德一","","123","","","","","","G:情報通信業","1975-12-22","C|C|C|A","108|208|301|313|315|402","2018-06-27","2430001019622","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"2430001019829","株式会社札幌機電工業所","サッポロキデンコウギョウショ","","","","北海道札幌市東区北二十二条東１５丁目４番７号","0650022","北海道","01","札幌市東区","103","北二十二条東１５丁目４番７号","301","01","1","","代表取締役　橋本　和子","","","","","","","","","1961-09-04","|C|C|","216|309","2019-01-17","2430001019829","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"2430001019985","株式会社スリーエス","スリーエス","","","","北海道札幌市東区北六条東４丁目１番地７","0600906","北海道","01","札幌市東区","103","北六条東４丁目１番地７","301","12","0","","代表取締役　諏訪原　大作","","141","141","18","","","","G:情報通信業","","","","2019-12-26","2430001019985","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"2430001020695","株式会社東洋電気産業","トウヨウデンキサンギョウ","","","","北海道札幌市北区新琴似二条４丁目２番６号","0010902","北海道","01","札幌市北区","102","新琴似二条４丁目２番６号","301","01","1","","","","","","","","","","","","","","2019-06-21","2430001020695","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001021958","株式会社北海道総合技術研究所","ホッカイドウソウゴウギジュツケンキュウショ","","","","北海道札幌市中央区南一条西１０丁目３番地南一条道銀ビル","0600061","北海道","01","札幌市中央区","101","南一条西１０丁目３番地南一条道銀ビル","301","71","0","","","","65","60","9","受託開発ソフトウエア業","https://www.hit-giken.jp/","","G:情報通信業","","","","2021-10-11","2430001021958","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"2430001022072","株式会社北海道設備会館","ホッカイドウセツビカイカン","","","","北海道札幌市中央区北四条西１９丁目１番地の１","0600004","北海道","01","札幌市中央区","101","北四条西１９丁目１番地の１","301","01","1","","","","","","","","","","","","","","2018-04-19","2430001022072","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001022155","株式会社北海道通信センター","","","2026-01-27","21","北海道札幌市東区北三十六条東６丁目３番８号","0070836","北海道","01","札幌市東区","103","北三十六条東６丁目３番８号","301","21","0","閉鎖","","","","","","","","","","","","","2026-01-28","2430001022155","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2026-01-29","","","","","","","","","","","","","2026-01-29","","","","","","","","","","","",""
"2430001022163","株式会社北海道通信販売所","ホッカイドウツウシンハンバイジョ","","","","北海道札幌市中央区北五条西６丁目１番地２３","0600005","北海道","01","札幌市中央区","101","北五条西６丁目１番地２３","301","01","1","","","","","","","","","","","","","","2023-07-12","2430001022163","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001025141","株式会社トマト総合設備サービス","","","2025-01-24","21","北海道札幌市北区北三十五条西９丁目１番１２号","0010035","北海道","01","札幌市北区","102","北三十五条西９丁目１番１２号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","2430001025141","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001025422","株式会社ナカヤマ住宅設備","ナカヤマジュウタクセツビ","","","","北海道札幌市東区東苗穂十四条３丁目２６番６号","0070814","北海道","01","札幌市東区","103","東苗穂十四条３丁目２６番６号","301","01","1","","","","","","","","","","","","","","2020-03-12","2430001025422","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001025736","デジタル通信株式会社","","","2025-01-24","21","北海道札幌市中央区北三条西３丁目１番地","0600003","北海道","01","札幌市中央区","101","北三条西３丁目１番地","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","2430001025736","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001025884","株式会社エイチ・エル・シー","エイチエルシー","","","","北海道札幌市中央区大通西２０丁目２番１８号","0640820","北海道","01","札幌市中央区","101","大通西２０丁目２番１８号","301","71","0","","代表取締役　氣境　壮二郎","","830","","","","","","G:情報通信業","1991-06-15","C|A|A|","108|208|215|216|217|220|229|301|302|303|304|306|307|308|313|315","2025-10-27","2430001025884","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"2430001025892","株式会社早坂設備","","","2025-01-24","21","北海道札幌市清田区里塚一条２丁目１８番６号","0040801","北海道","01","札幌市清田区","110","里塚一条２丁目１８番６号","301","21","0","閉鎖","","","","","","","","","","","","","2025-01-27","2430001025892","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001026288","株式会社金澤電気","カナザワデンキ","","","","北海道札幌市豊平区西岡五条３丁目２番１号","0620035","北海道","01","札幌市豊平区","105","西岡五条３丁目２番１号","301","01","1","","","","","","","","","","","","","","2020-10-01","2430001026288","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001028796","株式会社アイビーソリューションズ","アイビーソリューションズ","","","","北海道札幌市中央区南一条西６丁目１１番地","0600061","北海道","01","札幌市中央区","101","南一条西６丁目１１番地","301","01","1","","代表取締役社長　原田　健","","29","","","ソフトウェアのコンサルティング・設計・開発。パッケージソフトウェアの開発・販売。企業向けWebサイト制作。情報サービスIT技術支援。ITインフラ構築。システム運用、ソーシャルゲーム運用。","https://www.ib-s.co.jp","2003","G:情報通信業","","","","2018-06-07","2430001028796","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"2430001029150","株式会社村井設備企画","","","","","北海道札幌市白石区中央二条１丁目３番１０号","0030012","北海道","01","札幌市白石区","104","中央二条１丁目３番１０号","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001029150","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001030579","株式会社梶山設備","","","","","北海道札幌市白石区北郷２３８６番８３","0030849","北海道","01","札幌市白石区","104","北郷２３８６番８３","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001030579","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001031577","株式会社北陽電設工業","","","","","北海道石狩市樽川四条２丁目１２４番地","0613254","北海道","01","石狩市","235","樽川四条２丁目１２４番地","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001031577","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"2430001032014","株式会社エイト設計","エイトセッケイ","","","","北海道札幌市中央区大通西１丁目１４番地２","0600042","北海道","01","札幌市中央区","101","大通西１丁目１４番地２","301","01","1","","代表取締役　髙橋　忠明","","31","15","16","建築設備設計・積算・監理（電気・空調・衛生）、建築意匠設計等","https://www.eight-sk.com/","","R:サービス業（他に分類されないもの）","","","","2019-03-15","2430001032014","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"2430001032039","株式会社ブレインソフト","ブレインソフト","","","","北海道札幌市中央区北一条西１０丁目１番地２１ユーネットビル１１階","0600001","北海道","01","札幌市中央区","101","北一条西１０丁目１番地２１ユーネットビル１１階","301","12","0","","代表取締役　矢嶋寛久","","20","16","4","受託開発ソフトウェア業","http://www.brainsoft-net.co.jp","","G:情報通信業","","","","2025-02-04","2430001032039","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"2430001032162","株式会社クイーンズ電工","","","","","北海道札幌市中央区南十五条西６丁目２番２３号プラザ１５　１０３号室","0640915","北海道","01","札幌市中央区","101","南十五条西６丁目２番２３号プラザ１５　１０３号室","301","01","0","","","","","","","","","","","","","","2015-10-30","2430001032162","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
